purchase_datetime,order_id,client_id,purchase_weekday_flag,purchase_time_period,first_purchase_flag,purchase_type,tickets_quantity,total_value,trip_type,no_return_flag,origin_departure,destination_departure,origin_return,destination_return,bus_company_departure,bus_company_return
2018-12-26 15:33:35,bc02d5245bec63b30ff1102fa273fc03f58bc9cc3f674ef1fee010c95dcbbab9,a7218ff4ee7d37d48d2b4391b955627cb089870b934912e039288d3a28c3f210,True,tarde,True,individual,1,89.09,ida,True,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,50e9a8665b62c8d68bccc77c7c92431a1aa26ccbd38ed4bba8dd7422a3a4ab70,,,8527a891e224136950ff32ca212b45bc93f69fbb801c3b1ebedac52775f99e61,
2018-12-05 15:07:57,5432f12612dd5d749b3be880e779989cf63b5efa4bcc4e76c53e661b07ed7fb8,37228485e0dc83d84d1bcd1bef3dc632301bf6cb22c8b52e8fcd8ae7c503544b,True,tarde,False,individual,1,155.97,ida,True,10e4e7caf8b078429bb1c80b1a10118ac6f963eff098fd25a66c78862ae5ebce,e6d41d208672a4e50b86d959f4a6254975e6fb9b0881166af52c9fe3b5825de2,,,36ebe205bcdfc499a25e6923f4450fa8d48196ceb4fa0ce077d9d8ec4a36926d,
2018-12-21 18:41:54,fb3caed9b2f1b6016d45ccddb19095476e61a2c85faa8ec869b8b02d6c729858,3467ec081e2421e72c96e7203b929d21927fd00b6b5f28574f88bbdf2702d02a,True,noite,False,individual,1,121.99,ida,True,7688b6ef52555962d008fff894223582c484517cea7da49ee67800adc7fc8866,8c1f1046219ddd216a023f792356ddf127fce372a72ec9b4cdac989ee5b0b455,,,ec2e990b934dde55cb87300629cedfc21b15cd28bbcf77d8bbdc55359d7689da,
2018-12-06 14:01:38,4dc44a6dd592b702feccb493d192210c86965aee68452989fa44926bd8e0a421,ab3251a2be0f69713b8f97b0e9d1579e31551f4fd4facfad94978b417058b424,True,tarde,False,individual,1,55.22,ida,True,4e07408562bedb8b60ce05c1decfe3ad16b72230967de01f640b7e4729b49fce,d6acb3c1a79e57bcc03d976cb4d98f56edccd4cf426392e8cd4b01b965ab808b,,,5f9c4ab08cac7457e9111a30e4664920607ea2c115a1433d7be98e97e64244ca,
2021-02-23 20:08:25,aa34ed7fd0a6b405df2df1bf9f8d68e6df9b9a868a6181f2a990463e6eec11d3,ceea0de820a6379f2c4215bddaec66c33994b304607e56d801cfcb2d5d57bded,True,noite,True,individual,1,45.31,ida,True,7688b6ef52555962d008fff894223582c484517cea7da49ee67800adc7fc8866,23765fc69c4e3c0b10f5d15471dc2245e2a19af16b513f85aa4b83bd033762a4,,,48449a14a4ff7d79bb7a1b6f3d488eba397c36ef25634c111b49baf362511afc,
2021-02-11 22:25:15,948356b25b90c0c87c147cead27483c481edda1dacc4c8c7d8d1ddde6b61738a,37f13b6dae3cfd6e82caf88c4e361a5b2035b66c383ba2f523229a77ced2d91e,True,noite,True,individual,1,154.2,ida,True,d26eae87829adde551bf4b852f9da6b8c3c2db9b65b8b68870632a2db5f53e00,482d9673cfee5de391f97fde4d1c84f9f8d6f2cf0784fcffb958b4032de7236c,,,1dfacb2ea5a03e0a915999e03b5a56196f1b1664d2f768d1b7eff60ac059789d,
2021-02-19 19:11:40,2ee9d0978acb5e113d0b3f846ab3f88c5a426321da8f8752145e5a725d73c1c6,e15109b0b8e9f6f1554e560837eb55543f035f91d8be4f7b3780963fd838a06f,True,noite,True,individual,1,188.99,ida,True,2fca346db656187102ce806ac732e06a62df0dbb2829e511a770556d398e1a6e,be47addbcb8f60566a3d7fd5a36f8195798e2848b368195d9a5d20e007c59a0c,,,1d0ebea552eb43d0b1e1561f6de8ae92e3de7f1abec52399244d1caed7dbdfa6,
2020-12-03 09:16:29,92c004fb7013d0b6cc363bf860b63ebcb4ab8827f4c2b20212fb6792a813aa9e,ec66b05934a8d00f661257ea91874241fccb4fb128028d3655a0ef3f9d47816b,True,manhã,False,individual,1,232.96,ida,True,7688b6ef52555962d008fff894223582c484517cea7da49ee67800adc7fc8866,a3af7b3808c4cf72478d05c9bab9c0d47e31c1d2cb3a29e7481669f7ea278c4e,,,3068430da9e4b7a674184035643d9e19af3dc7483e31cc03b35f75268401df77,
2020-12-04 08:28:26,bca8674d4af2f864efd8207b49612927ffffa9a74eb5fc5920ccec274e8247b2,c2f1df0f691e1830892c5557674c5cdce2d99370fc8a849835e45e809325ee13,True,manhã,False,individual,1,23.3,ida,True,6b51d431df5d7f141cbececcf79edf3dd861c3b4069f0b11661a3eefacbba918,4e07408562bedb8b60ce05c1decfe3ad16b72230967de01f640b7e4729b49fce,,,35135aaa6cc23891b40cb3f378c53a17a1127210ce60e125ccf03efcfdaec458,
2021-07-02 11:41:19,929cd361c225ec5d3510e14e8582fdcc61a24383cdb7a70c708ff3d643e60e4a,f914295cdc6f40aae952cd1457650eac8a6f74a57a49232a9342d0a309230360,True,manhã,False,individual,1,61.55,ida,True,90b5bc7f03c840b2efddb22ffdfc37dd12cb391b49aa0fc8751726c04d32ff30,f6103ca1e01bd200a9258a366b7e8c22a542e771bf11a0679967a5bb47ef3688,,,c6f3ac57944a531490cd39902d0f777715fd005efac9a30622d5f5205e7f6894,
